time,T,Td,P,wind_dir,wind
2020/1/1 2:00,-15.7,-17.4,1031.6,60,1
2020/1/1 5:00,-17.8,-20,1032.3,95,0.3
2020/1/1 8:00,-17.5,-19.5,1033.8,80,1
2020/1/1 11:00,-9.7,-15.1,1033.9,47,0.4
2020/1/1 14:00,-6.2,-15.9,1032.6,30,1
2020/1/1 17:00,-9,-18.5,1032.5,351,1.7
2020/1/1 20:00,-15.4,-19.8,1032.7,0,-999.9
2020/1/1 23:00,-18.4,-21.2,1032.6,143,0.5
2020/1/2 2:00,-19.5,-21.8,1031.9,70,1
2020/1/2 5:00,-17.2,-19.3,1031.2,81,1.1
2020/1/2 8:00,-17,-19.1,1031.9,60,1
2020/1/2 11:00,-9.4,-15.5,1031.8,150,1
2020/1/2 14:00,-4.6,-16.8,1030.2,260,2
2020/1/2 17:00,-7.5,-15.1,1030.8,210,1.5
2020/1/2 20:00,-13.5,-16.4,1031.1,0,-999.9
2020/1/2 23:00,-15.7,-17.8,1031,360,0
2020/1/3 2:00,-16.7,-18.6,1030.1,0,-999.9
2020/1/3 5:00,-17.4,-19.5,1028.7,55,1.4
2020/1/3 8:00,-14.7,-17.4,1029.2,60,2
2020/1/3 11:00,-6.5,-14.4,1028.4,158,0.9
2020/1/3 14:00,-2.4,-10.2,1026.8,260,2
2020/1/3 17:00,-4.7,-9.6,1027.4,209,1.1
2020/1/3 20:00,-10.9,-12.9,1027.2,0,-999.9
2020/1/3 23:00,-13.5,-15.1,1026.5,142,0.4
2020/1/4 2:00,-14.8,-16.6,1026.3,0,-999.9
2020/1/4 5:00,-15.4,-17.3,1026.2,360,0.1
2020/1/4 8:00,-14.8,-16.3,1028.2,0,-999.9
2020/1/4 11:00,-5.4,-10.9,1029.4,156,0.9
2020/1/4 14:00,-1.7,-9.8,1029,160,1
2020/1/4 17:00,-5.9,-10.1,1030.6,162,0.6
2020/1/4 20:00,-10.9,-12.8,1032,0,-999.9
2020/1/4 23:00,-13.2,-15,1032.6,360,0
2020/1/5 2:00,-14.7,-16.4,1032.7,70,1
2020/1/5 5:00,-13.5,-15.1,1032.9,55,1.6
2020/1/5 8:00,-13.4,-15,1034.1,50,2
2020/1/5 11:00,-6.4,-11.5,1034.3,107,1.3
2020/1/5 14:00,-0.5,-9.6,1031.8,40,2
2020/1/5 17:00,-3.9,-9.5,1031.8,85,0.6
2020/1/5 20:00,-7.4,-10.6,1030.5,60,1
2020/1/5 23:00,-7,-10.3,1029.6,62,1.2
2020/1/6 2:00,-7.2,-10.4,1028.7,50,1
2020/1/6 5:00,-5.9,-9.8,1027.9,360,0
2020/1/6 8:00,-4.9,-8.8,1027.7,50,1
2020/1/6 11:00,-0.7,-7.1,1026.7,148,0.7
2020/1/6 14:00,0.9,-2.7,1024.8,130,2
2020/1/6 17:00,0.2,-2.7,1025.1,63,0.6
2020/1/6 20:00,-0.4,-2.8,1025,330,1
2020/1/6 23:00,-0.5,-2.3,1025,360,0
2020/1/7 2:00,0,-1,1025.7,360,3
2020/1/7 5:00,-5,-10.3,1026.8,4,5.2
2020/1/7 8:00,-8.4,-14,1027.3,350,4
2020/1/7 11:00,-7.4,-12.5,1026.2,352,4.4
2020/1/7 14:00,-7.1,-12.8,1024.2,360,4
2020/1/7 17:00,-8.5,-12.5,1023.6,10,4.1
2020/1/7 20:00,-10.3,-13.9,1021.9,360,6
2020/1/7 23:00,-10,-12.6,1022.1,356,4.7
2020/1/8 2:00,-10.2,-12.8,1022.7,350,4
2020/1/8 5:00,-8.9,-11.4,1023.2,1,2
2020/1/8 8:00,-8.8,-11.8,1024.9,350,3
2020/1/8 11:00,-7.4,-11.2,1026.1,360,2.1
2020/1/8 14:00,-6.4,-10.6,1025.6,350,3
2020/1/8 17:00,-6.4,-10.4,1027,338,1.4
2020/1/8 20:00,-6.7,-10.7,1028.1,350,1
2020/1/8 23:00,-7.5,-10.3,1028.2,181,0.9
2020/1/9 2:00,-7.7,-9.8,1028.5,0,-999.9
2020/1/9 5:00,-7.2,-10.3,1028.3,235,1.4
2020/1/9 8:00,-9.3,-10.6,1029.1,160,1
2020/1/9 11:00,-5,-10.5,1029.2,212,1.8
2020/1/9 14:00,-3.1,-10.4,1027.8,180,2
2020/1/9 17:00,-6.4,-10.6,1028,180,0.8
2020/1/9 20:00,-11.3,-13,1027.6,70,1
2020/1/9 23:00,-13.4,-15,1027,124,0.9
2020/1/10 2:00,-15.9,-17.8,1027.3,0,-999.9
2020/1/10 5:00,-13.9,-15.6,1025.9,53,1.6
2020/1/10 8:00,-14.5,-16.3,1026.1,60,1
2020/1/10 11:00,-8.2,-11,1025.2,135,0.8
2020/1/10 14:00,-2.4,-8.9,1023,240,3
2020/1/10 17:00,-4.4,-12.5,1023.8,269,1.3
2020/1/10 20:00,-11.4,-14.3,1024.9,140,1
2020/1/10 23:00,-13.5,-15.6,1025.2,360,0.1
2020/1/11 2:00,-13.2,-16.5,1026,10,1
2020/1/11 5:00,-10.7,-17.2,1026.3,302,0.9
2020/1/11 8:00,-16.3,-18.4,1027.5,0,-999.9
2020/1/11 11:00,-7,-16.2,1027.9,252,1.1
2020/1/11 14:00,-6.3,-15,1025.7,20,2
2020/1/11 17:00,-8.4,-16.3,1026.7,353,1.9
2020/1/11 23:00,-14,-17.7,1026.2,154,0.6
2020/1/12 2:00,-17.1,-19.4,1025.4,0,-999.9
2020/1/12 5:00,-18.4,-20.5,1024.7,117,0.3
2020/1/12 8:00,-18.6,-20.6,1025.6,130,1
2020/1/12 11:00,-11,-15.9,1025.3,113,1.6
2020/1/12 14:00,-8.4,-17.5,1023.4,290,2
2020/1/12 17:00,-11,-18.3,1023.8,327,1.1
2020/1/12 20:00,-16,-19.4,1024.2,0,-999.9
2020/1/12 23:00,-18.4,-20.8,1023.8,134,0.3
2020/1/13 2:00,-19.9,-22.2,1023.6,90,1
2020/1/13 5:00,-20.4,-22.8,1023.6,360,0.1
2020/1/13 8:00,-19.1,-21.4,1024.9,0,-999.9
2020/1/13 11:00,-9.5,-16.6,1026.1,131,1.3
2020/1/13 14:00,-6.9,-16.3,1025.8,120,2
2020/1/13 17:00,-9.4,-18.9,1027,355,2.5
2020/1/13 20:00,-13.5,-19.2,1028.8,110,1
2020/1/13 23:00,-17.2,-19.8,1030,75,0.7
2020/1/14 2:00,-19.2,-21.8,1030.2,80,1
2020/1/14 8:00,-18,-20.3,1031.7,50,1
2020/1/14 11:00,-11.5,-18.2,1031.8,303,1.5
2020/1/14 14:00,-6.6,-18,1030.1,330,2
2020/1/14 17:00,-9.9,-17.5,1030.8,31,1.6
2020/1/14 20:00,-14.7,-18.5,1031.5,130,1
2020/1/14 23:00,-17.3,-19.6,1031.7,198,0.4
2020/1/15 2:00,-19.5,-21.7,1031.8,130,1
2020/1/15 5:00,-20.4,-22.8,1031.8,360,0.2
2020/1/15 8:00,-18.8,-21.1,1032.1,60,1
2020/1/15 11:00,-10.9,-16.9,1031.8,126,1.3
2020/1/15 14:00,-5.8,-15.1,1030,110,2
2020/1/15 17:00,-8.2,-16.3,1030.6,102,0.4
